timestamp,x,y,z,w
117367095444,-0.414368,0.118652,-0.38446,0.816345
117367118007,-0.413879,0.11853,-0.384399,0.81665
117367133037,-0.41333,0.118469,-0.384277,0.816956
117367163539,-0.413391,0.118774,-0.383972,0.817078
117367177981,-0.413452,0.11908,-0.383606,0.817139
117367194264,-0.413208,0.11908,-0.383362,0.817383
117367216756,-0.412842,0.119019,-0.383179,0.817627
117367238168,-0.412292,0.118896,-0.383118,0.817993
117367307953,-0.412292,0.118896,-0.383118,0.817993
117367308743,-0.412476,0.119141,-0.382996,0.817932
117367309587,-0.412659,0.119263,-0.382874,0.81781
117367352993,-0.41156,0.118591,-0.382996,0.81842
117367357920,-0.41095,0.118225,-0.383179,0.818726
117367370990,-0.411072,0.118164,-0.38324,0.818665
117367405850,-0.411682,0.118347,-0.38324,0.818298
117367411763,-0.411926,0.118347,-0.383362,0.818115
117367455249,-0.411865,0.118103,-0.383606,0.818115
117367465554,-0.41156,0.117676,-0.383972,0.818115
117367471853,-0.411255,0.117249,-0.384338,0.818176
117367487445,-0.411438,0.11731,-0.38446,0.817993
117367509209,-0.411987,0.117432,-0.384521,0.817688
117367539864,-0.411926,0.117188,-0.384583,0.817688
117367554211,-0.411621,0.116943,-0.384766,0.81781
117367577339,-0.412109,0.117126,-0.384766,0.817566
117367599971,-0.412659,0.11731,-0.384827,0.8172
117367614208,-0.41272,0.117249,-0.385132,0.817078
117367637420,-0.412842,0.11731,-0.385376,0.816833
117367660014,-0.413513,0.117737,-0.385498,0.816406
117367674236,-0.413513,0.117615,-0.385742,0.816284
117367697546,-0.412903,0.117249,-0.386169,0.816467
117367719999,-0.412659,0.117188,-0.386353,0.816528
117367734288,-0.412842,0.117371,-0.386292,0.816467
117367757468,-0.412842,0.117371,-0.38623,0.816467
117367779905,-0.412842,0.117432,-0.38623,0.816467
117367801167,-0.412598,0.117249,-0.386169,0.816589
117367817355,-0.412231,0.117004,-0.386169,0.816833
117367839904,-0.412476,0.117249,-0.386047,0.816772
117367861193,-0.412964,0.117737,-0.385742,0.816589
117367877513,-0.412781,0.117615,-0.385742,0.816711
117367906135,-0.411743,0.117126,-0.385864,0.8172
117367921071,-0.411682,0.117126,-0.385864,0.817261
117367927938,-0.412415,0.117676,-0.385559,0.816956
117367950272,-0.412964,0.118103,-0.385315,0.816711
117367965253,-0.412964,0.118103,-0.385315,0.816772
117367987792,-0.412903,0.118103,-0.385315,0.816772
117368010237,-0.413208,0.118286,-0.385193,0.816589
117368028162,-0.413513,0.118408,-0.385132,0.816528
117368047878,-0.413269,0.118347,-0.385071,0.81665
117368070415,-0.412903,0.118103,-0.385132,0.816833
117368085378,-0.412903,0.118103,-0.385132,0.816833
117368107882,-0.413147,0.118164,-0.385193,0.816711
117368130391,-0.413391,0.118103,-0.385315,0.816528
117368145454,-0.413452,0.11792,-0.385498,0.816406
117368176711,-0.413757,0.117859,-0.385681,0.816162
117368190273,-0.414307,0.118042,-0.385742,0.815857
117368212877,-0.41449,0.117981,-0.385864,0.815735
117368227738,-0.41449,0.117859,-0.386047,0.815613
117368250311,-0.414612,0.117859,-0.386108,0.815552
117368265406,-0.414795,0.117798,-0.386169,0.81543
117368287864,-0.414429,0.117615,-0.386292,0.815613
117368310258,-0.413635,0.117188,-0.386536,0.815918
117368325329,-0.413635,0.117188,-0.386536,0.815979
117368347780,-0.414124,0.117615,-0.386414,0.815674
117368370397,-0.414368,0.117859,-0.386292,0.815613
117368394420,-0.414124,0.117798,-0.386353,0.815674
117368416548,-0.414124,0.117859,-0.386353,0.815674
117368430236,-0.414124,0.117859,-0.386353,0.815674
117368446704,-0.414124,0.117859,-0.386353,0.815674
117368475202,-0.414307,0.118042,-0.386353,0.815552
117368490243,-0.414795,0.118347,-0.386169,0.815369
117368508231,-0.414795,0.118408,-0.386108,0.815369
117368527705,-0.414246,0.118225,-0.386169,0.815674
117368550374,-0.414246,0.118225,-0.386169,0.815674
117368566839,-0.414551,0.118469,-0.385986,0.815552
117368587805,-0.414551,0.11853,-0.385925,0.815552
117368610319,-0.414062,0.118225,-0.385864,0.815857
117368626802,-0.413391,0.117737,-0.385925,0.816284
117368647819,-0.413391,0.117737,-0.385925,0.816284
117368670333,-0.41333,0.117737,-0.385925,0.816284
117368688339,-0.413391,0.117737,-0.385864,0.816284
117368710611,-0.413452,0.117554,-0.385864,0.816284
117368730421,-0.41333,0.117188,-0.386047,0.816345
117368748315,-0.413147,0.117004,-0.38623,0.816345
117368767929,-0.413452,0.117004,-0.38623,0.816223
117368790407,-0.413513,0.116882,-0.386169,0.816223
117368808164,-0.412903,0.116272,-0.386353,0.816528
117368827684,-0.412231,0.115723,-0.386414,0.816895
117368850307,-0.412231,0.11554,-0.386353,0.816956
117368875686,-0.412476,0.115479,-0.386169,0.816956
117368887761,-0.411743,0.114868,-0.38623,0.817383
117368917896,-0.4104,0.113892,-0.386475,0.818054
117368932780,-0.410095,0.113647,-0.386658,0.818176
117368947896,-0.410522,0.113892,-0.386536,0.817932
117368987402,-0.410156,0.113708,-0.386597,0.818176
117368989727,-0.409363,0.113159,-0.386719,0.818542
117369016752,-0.409302,0.113159,-0.386719,0.818604
117369030433,-0.40979,0.113281,-0.386597,0.81842
117369048347,-0.408936,0.11261,-0.386658,0.818909
117369067881,-0.406982,0.110962,-0.387024,0.819946
117369090431,-0.40564,0.109863,-0.387085,0.820679
117369108372,-0.405029,0.109314,-0.386108,0.821533
117369135246,-0.403625,0.10791,-0.38446,0.823181
117369150378,-0.399353,0.104614,-0.382324,0.82666
117369168201,-0.392822,0.100769,-0.378723,0.831909
117369187770,-0.386047,0.0970459,-0.37207,0.838501
117369210234,-0.378845,0.0922852,-0.362732,0.846375
117369228130,-0.363525,0.0839844,-0.351074,0.858765
117369247837,-0.337158,0.0712891,-0.334961,0.876953
117369270209,-0.303162,0.0557861,-0.315796,0.897339
117369288260,-0.267883,0.0420532,-0.293457,0.916687
117369307902,-0.235413,0.0308228,-0.268127,0.933655
117369337866,-0.2052,0.0222168,-0.239014,0.948792
117369348285,-0.178406,0.0162354,-0.205322,0.962158
117369369301,-0.158997,0.012207,-0.16687,0.972961
117369390376,-0.142517,0.0090332,-0.124817,0.981812
117369408161,-0.123962,0.0057373,-0.078064,0.989197
117369429186,-0.105042,0.00323486,-0.0259399,0.99408
117369450214,-0.0843506,0.00268555,0.031311,0.995911
117369472703,-0.0618896,0.00488281,0.0924072,0.993774
117369490605,-0.0419922,0.00897217,0.154846,0.987
117369510179,-0.0235596,0.0134277,0.215149,0.976196
117369532708,-0.00494385,0.0169678,0.271301,0.96228
117369549158,0.0145874,0.022644,0.321716,0.946411
117369570192,0.0371094,0.0317993,0.365234,0.929565
117369588083,0.0578003,0.0430298,0.398315,0.914368
117369609166,0.0731201,0.0545654,0.423096,0.901428
117369630210,0.0817871,0.0653687,0.43988,0.891846
117369648162,0.0922241,0.071106,0.450989,0.884827
117369669136,0.106628,0.0952148,0.483765,0.863403
117369690207,0.119019,0.117676,0.484619,0.858521
117369712763,0.114746,0.116638,0.470398,0.867065
117369730666,0.0981445,0.0986938,0.464783,0.87439
117369753117,0.081604,0.0886841,0.461487,0.878906
117369772670,0.0648193,0.0790405,0.457642,0.883179
117369791216,0.0563965,0.0704956,0.453125,0.886841
117369810276,0.0543213,0.0656738,0.445862,0.890991
117369832705,0.0534058,0.0601807,0.438721,0.894958
117369850651,0.0530396,0.0551147,0.433716,0.897766
117369870210,0.0516968,0.0517578,0.43042,0.899597
117369892710,0.0494995,0.0493774,0.427551,0.901245
117369910617,0.0466919,0.0469971,0.425598,0.902466
117369937824,0.0443726,0.0441284,0.426208,0.902405
117369952743,0.0427856,0.0421143,0.428711,0.901367
117369970638,0.041748,0.0418091,0.431213,0.900269
117369990371,0.0410156,0.041748,0.432922,0.899475
117370012685,0.0408936,0.0406494,0.435242,0.898438
117370030620,0.0407715,0.0396729,0.438904,0.896667
117370050273,0.0408936,0.0387573,0.442383,0.89502
117370074312,0.041626,0.0379639,0.444946,0.893738
117370096793,0.0426025,0.0374146,0.447876,0.892273
